,edit_count,neg_sentiment,sentiment
2014-03-18,0.0,0.4,-0.2841443399588267
2014-03-19,0.0,0.4,-0.31837995946407316
2014-03-20,0.0,0.42,-0.34111356496810913
2014-03-21,0.0,0.3157894736842105,-0.1533725010721307
2014-03-22,0.0,0.16666666666666666,0.07903816799322765
2014-03-23,0.0,0.4375,-0.37340496728817624
2014-03-24,0.0,0.5,-0.4834136664867401
2014-03-25,0.0,0.2777777777777778,-0.09609436657693651
2014-03-26,0.0,0.4090909090909091,-0.35226602987809613
2014-03-27,0.0,0.2777777777777778,-0.2761537896262275
2014-03-28,0.0,0.3953488372093023,-0.342582143323366
2014-03-29,0.0,0.4375,-0.35206582210958004
2014-03-30,0.0,0.35526315789473684,-0.2537678472305599
2014-03-31,0.0,0.45454545454545453,-0.40505471148274164
2014-04-01,0.0,0.22413793103448276,-0.08597543527340067
2014-04-02,0.0,0.36792452830188677,-0.2797275292423536
2014-04-03,0.0,0.3888888888888889,-0.3762866026825375
2014-04-04,0.0,0.375,-0.2666565262609058
2014-04-05,0.0,0.5,-0.4996630549430847
2014-04-06,0.0,0.25,-0.0027956515550613403
2014-04-07,0.0,0.19230769230769232,0.05655651367627657
2014-04-08,0.0,0.125,0.16784938797354698
2014-04-09,0.0,0.4375,-0.3694681487977505
2014-04-10,0.0,0.16666666666666666,-0.12260811527570088
2014-04-11,0.0,0.1875,-0.1255939044058323
2014-04-12,0.0,0.35714285714285715,-0.20246856553213938
2014-04-13,0.0,0.4666666666666667,-0.42613202730814614
2014-04-14,0.0,0.4375,-0.3729008287191391
2014-04-15,0.0,0.35185185185185186,-0.29554506694829025
2014-04-16,0.0,0.3617021276595745,-0.25187763064465624
2014-04-17,0.0,0.425,-0.3431331440806389
2014-04-18,0.0,0.4369747899159664,-0.36867425647102486
2014-04-19,0.0,0.43548387096774194,-0.3839218967383908
2014-04-20,0.0,0.39285714285714285,-0.320722616144589
2014-04-21,0.0,0.4444444444444444,-0.41098494165473515
2014-04-22,0.0,0.375,-0.3025837428867817
2014-04-23,0.0,0.3125,-0.09176591038703918
2014-04-24,0.0,0.43478260869565216,-0.3742204917513806
2014-04-25,0.0,0.2727272727272727,-0.1281511052088304
2014-04-26,0.0,0.2727272727272727,-0.16091571883721786
2014-04-27,0.0,0.40625,-0.34384435415267944
2014-04-28,0.0,0.42857142857142855,-0.41602904881749836
2014-04-29,0.0,0.125,0.035349637269973755
2014-04-30,0.0,0.5,-0.498325377702713
2014-05-01,0.0,0.46774193548387094,-0.41788447864593997
2014-05-02,0.0,0.37037037037037035,-0.26675482590993244
2014-05-04,0.0,0.5,-0.4809993633202144
2014-05-05,0.0,0.36666666666666664,-0.22798401713371277
2014-05-06,0.0,0.3,-0.10000919103622437
2014-05-07,0.0,0.24074074074074073,-0.045608591150354455
2014-05-08,0.0,0.34782608695652173,-0.18738214347673499
2014-05-09,0.0,0.391304347826087,-0.28692258052203967
2014-05-10,0.0,0.35185185185185186,-0.19898423552513123
2014-05-11,0.0,0.3611111111111111,-0.2624077598253886
2014-05-12,0.0,0.4411764705882353,-0.3773299946504481
2014-05-13,0.0,0.45454545454545453,-0.40609581633047626
2014-05-14,0.0,0.35714285714285715,-0.2947550288268498
2014-05-15,0.0,0.3,-0.10074172019958497
2014-05-16,0.0,0.15,0.11584435999393464
2014-05-17,0.0,0.25,-0.10561306277910869
2014-05-18,0.0,0.4,-0.3816718399524689
2014-05-19,0.0,0.3333333333333333,-0.29158493876457214
2014-05-20,0.0,0.3125,-0.1683002971112728
2014-05-21,0.0,0.35,-0.29750737026333807
2014-05-25,0.0,0.5,-0.4954197183251381
2014-05-26,0.0,0.40625,-0.3116489499807358
2014-05-27,0.0,0.43478260869565216,-0.3622143683226212
2014-05-29,0.0,0.375,-0.36702655255794525
2014-05-30,0.0,0.5,-0.4717954014028822
2014-05-31,0.0,0.4166666666666667,-0.33234313130378723
2014-06-01,0.0,0.38461538461538464,-0.2672095321691953
2014-06-02,0.0,0.3125,-0.20381580665707588
2014-06-03,0.0,0.4166666666666667,-0.34746168305476505
2014-06-04,0.0,0.4642857142857143,-0.40697636561734335
2014-06-06,0.0,0.25,-0.24754756689071655
2014-06-07,0.0,0.0,0.4650106430053711
2014-06-08,0.0,0.35,-0.20703978538513185
2014-06-09,0.0,0.125,0.2393217533826828
2014-06-10,0.0,0.2857142857142857,-0.15959268808364868
2014-06-11,0.0,0.5,-0.4888195182595934
2014-06-12,0.0,0.125,-2.0638108253479004e-06
2014-06-13,0.0,0.36363636363636365,-0.2482744509523565
2014-06-15,0.0,0.25,0.001122159617287772
2014-06-16,0.0,0.0,0.3592790961265564
2014-06-17,0.0,0.25,0.008820563554763794
2014-06-18,0.0,0.25,-0.08656369646390279
2014-06-19,0.0,0.5,-0.49856650829315186
2014-06-20,0.0,0.3888888888888889,-0.37578848666614956
2014-06-21,0.0,0.5,-0.4991159737110138
2014-06-23,0.0,0.5,-0.48523226380348206
2014-06-24,0.0,0.5,-0.49459030230840045
2014-06-25,0.0,0.5,-0.49950748682022095
2014-06-26,0.0,0.3333333333333333,-0.13525020082791647
2014-06-27,0.0,0.16666666666666666,-0.011542012294133505
2014-06-29,0.0,0.16666666666666666,0.10856195290883382
2014-06-30,0.0,0.5,-0.45597376823425295
2014-07-01,0.0,0.38235294117647056,-0.373815738102969
2014-07-02,0.0,0.5,-0.49948057532310486
2014-07-03,0.0,0.16666666666666666,0.16362364093462625
2014-07-04,0.0,0.25,-0.09650982703481402
2014-07-05,0.0,0.34615384615384615,-0.19392608679257906
2014-07-06,0.0,0.375,-0.2557324320077896
2014-07-07,0.0,0.4166666666666667,-0.3217441588640213
2014-07-08,0.0,0.27586206896551724,-0.18278668152874913
2014-07-09,0.0,0.25,-0.12817619740962982
2014-07-10,0.0,0.2222222222222222,-0.0939127008120219
2014-07-11,0.0,0.3888888888888889,-0.2901463641060723
2014-07-12,0.0,0.38461538461538464,-0.2333035171031952
2014-07-13,0.0,0.3333333333333333,-0.19409319361050922
2014-07-14,0.0,0.375,-0.267356775701046
2014-07-15,0.0,0.5,-0.4870894518163469
2014-07-16,0.0,0.5,-0.4845063239336014
2014-07-17,0.0,0.4642857142857143,-0.4222745703799384
2014-07-18,0.0,0.3333333333333333,-0.18894547348221144
2014-07-19,0.0,0.5,-0.4659440318743388
2014-07-21,0.0,0.25,-0.013416841626167297
2014-07-23,0.0,0.46153846153846156,-0.4179507585672232
2014-07-24,0.0,0.0,0.43585485219955444
2014-07-25,0.0,0.3888888888888889,-0.3480846683184306
2014-07-26,0.0,0.375,-0.21985072642564774
2014-07-27,0.0,0.4583333333333333,-0.3997371047735214
2014-07-28,0.0,0.42857142857142855,-0.30256904874529156
2014-07-29,0.0,0.35714285714285715,-0.35588378991399494
2014-07-30,0.0,0.25,-0.038524518410364784
2014-07-31,0.0,0.25,-0.240576833486557
2014-08-01,0.0,0.23076923076923078,-0.05433028477888841
2014-08-02,0.0,0.0,0.496760755777359
2014-08-03,0.0,0.375,-0.2737708588441213
2014-08-04,0.0,0.375,-0.32857684791088104
2014-08-05,0.0,0.4,-0.2961572051048279
2014-08-06,0.0,0.22727272727272727,-0.04989886825734919
2014-08-07,0.0,0.4583333333333333,-0.3820306633909543
2014-08-08,0.0,0.3333333333333333,-0.33232452472050983
2014-08-09,0.0,0.21428571428571427,-0.002871347325188773
2014-08-10,0.0,0.375,-0.25220752507448196
2014-08-12,0.0,0.25,-0.032486528158187866
2014-08-16,0.0,0.21428571428571427,0.005512062992368426
2014-08-17,0.0,0.5,-0.4983103275299072
2014-08-18,0.0,0.4230769230769231,-0.3441476202928103
2014-08-19,0.0,0.5,-0.48271435499191284
2014-08-21,0.0,0.25,-0.23532897233963013
2014-08-22,0.0,0.5,-0.49981504678726196
2014-08-24,0.0,0.5,-0.4922565221786499
2014-08-25,0.0,0.3,-0.1391202390193939
2014-08-26,0.0,0.2857142857142857,-0.11054797967274983
2014-08-27,0.0,0.4,-0.28517793118953705
2014-08-28,0.0,0.34,-0.17134384751319887
2014-08-29,0.0,0.125,0.23035676777362823
2014-08-30,0.0,0.0,0.4735886752605438
2014-08-31,0.0,0.2727272727272727,-0.062453221191059456
2014-09-01,0.0,0.25,-0.0016159415245056152
2014-09-02,0.0,0.4166666666666667,-0.3469041685263316
2014-09-03,0.0,0.2857142857142857,-0.09796369927270072
2014-09-04,0.0,0.5,-0.29894691705703735
2014-09-05,0.0,0.3333333333333333,-0.1657815178235372
2014-09-06,0.0,0.3333333333333333,-0.1648757060368856
2014-09-07,0.0,0.29411764705882354,-0.0912067381774678
2014-09-08,0.0,0.5,-0.4921663999557495
2014-09-09,0.0,0.25,-0.2477426826953888
2014-09-10,0.0,0.0,0.47681596875190735
2014-09-13,0.0,0.4166666666666667,-0.3344120929638545
2014-09-14,0.0,0.5,-0.49986782670021057
2014-09-15,0.0,0.3125,-0.10915471985936165
2014-09-17,0.0,0.125,0.25608019530773163
2014-09-18,0.0,0.5,-0.49123744666576385
2014-09-19,0.0,0.25,-0.22686327248811722
2014-09-20,0.0,0.25,-0.014849051833152771
2014-09-21,0.0,0.25,-0.24932830035686493
2014-09-23,0.0,0.375,-0.24993642419576645
2014-09-24,0.0,0.5,-0.49864256381988525
2014-09-25,0.0,0.16666666666666666,0.14276443918546042
2014-09-27,0.0,0.25,-0.03151118755340576
2014-09-29,0.0,0.21212121212121213,0.06003881042653864
2014-09-30,0.0,0.475,-0.4380082696676254
2014-10-01,0.0,0.35714285714285715,-0.23003631617341722
2014-10-02,0.0,0.25,-0.0016437172889709473
2014-10-03,0.0,0.16666666666666666,0.04215941826502482
2014-10-04,0.0,0.0,0.0
2014-10-05,0.0,0.42857142857142855,-0.35654223816735403
2014-10-06,0.0,0.4,-0.2983194351196289
2014-10-07,0.0,0.375,-0.37416667491197586
2014-10-08,0.0,0.375,-0.2621205076575279
2014-10-09,0.0,0.5,-0.4952077468236287
2014-10-10,0.0,0.25,-0.022142991423606873
2014-10-11,0.0,0.35714285714285715,-0.2976742812565395
2014-10-13,0.0,0.4090909090909091,-0.32998073371973907
2014-10-14,0.0,0.3888888888888889,-0.29859862559371525
2014-10-15,0.0,0.42592592592592593,-0.3432493838999007
2014-10-16,0.0,0.34,-0.1961497735977173
2014-10-17,0.0,0.21428571428571427,0.04261393845081329
2014-10-19,0.0,0.5,-0.4819893879549844
2014-10-20,0.0,0.38461538461538464,-0.28265958107434785
2014-10-21,0.0,0.25,-0.016423188149929047
2014-10-22,0.0,0.5,-0.4747496951710094
2014-10-23,0.0,0.375,-0.24585899710655212
2014-10-24,0.0,0.16666666666666666,0.16306435068448386
